id,reference,hypothesis,audio_file
001,今天天气真好我们一起去公园散步吧,今天天气真好我们一起去公园散步吧,BAC009S0724W0121.wav
002,我小时候住在杭州西湖边经常去断桥玩,我小时候住在杭州西湖边经常去断桥完,BAC009S0724W0122.wav
003,那时候生活条件艰苦但过得很开心,那时候生活条件艰苦但过得很开心,BAC009S0724W0123.wav
004,我退休前在纺织厂工作了三十年,我退休前在纺织厂工作了三十年,BAC009S0724W0124.wav
005,孩子们都在外地工作很少回来,孩子们都在外地工作很少回来,BAC009S0724W0125.wav
006,我最怀念的是小时候过年的味道,我最怀念的是小时候过年的味道,BAC009S0724W0126.wav
007,现在用手机视频通话很方便,现在用手机视频通话很方便,BAC009S0724W0127.wav
008,希望以后能有个智能助手帮我记事情,希望以后能有个智能助手帮我记事情,BAC009S0724W0128.wav
009,年轻时候最喜欢听邓丽君的歌,年轻时候最喜欢听邓丽君的歌,BAC009S0724W0129.wav
010,这些老照片都是珍贵的回忆,这些老照片都是珍贵的回忆,BAC009S0724W0130.wav
